Title	Complement	POS_1	Definition_1
Յովհան	ննու	np.	cf. Յովհաննէս.
Յովհաննէս	ննու	np.	John.
Յովնան	նու	np.	Jonah.
Յովսափատ	տայ	np.	Jehoshaphat.
Յովսեպոս	սիւ	np.	Josephus.
Յովսէփ	փայ, փու	np.	Joseph; Յովսէփ Արեմաթացի, Joseph of Arimathea.
Յովսէս		np.	Joset, José.
Յովսիա	այ	np.	Josiah.
Յովսիմոս		np.	Zosimos.
Յովրամ	մայ	np.	Jehoram.
Յուգուրթ	թայ	np.	Jugurtha.
Յուդայ	յիւ	np.	Juda.
Յուդիթ	դթայ	np.	Judith.
Յուլիանոս	սիւ	np.	Julianus.
Յուլիոս	լեայ	np.	Julius.
Յուղիտայ	ի	np.	Jule, Julie.
Յուսիկ	սկան	np.	Hesychius.
Յուսուփ	սփայ	np.	Jousouph.
Յուստիանէ	նեայ	np.	Justina.
Յուստիանոս	սիւ	np.	Justinian.
Յուստինոս	սիւ	np.	Justin.
Նաբաղ	ղայ	np.	Nabal.
Նաբովթ	թայ	np.	Naboth.
Նաբուգոդոնոսոր		np.	Nebuchadnezzar.
Նաբուպաղսար	րայ	np.	Nabopolassar.
Նաթան	նայ	np.	Nathan.
Նաւում	մայ	np.	Nahum.
Նեբրովթ	թայ	np.	Nimrod.
Նեեման	նայ	np.	Naaman.
Նեեմի	մեայ	np.	Nehemiah.
Նեղոս	սիւ	np.	Nilus.
Նեստոր	րիւ	np.	Nestor.
Նեստորեանք	նց	np.	Nestorian.
Ներոն	նիւ	np.	Nero.
Ներուաս	սայ	np.	Nerva.
Ներսեհ	հիւ	np.	Narseh.
Ներսէս	սիւ	np.	Nerses.
Նեքաւով	վայ	np.	Necho.
Նիկանովր	րայ	np.	Nicanor.
Նիկեփոր	րայ	np.	Nikephoros.
Նիկոդեմոս	մայ, սիւ	np.	Nicodemus.
Նիկողայոս	սիւ	np.	Nicholas.
Նիկոն	նիւ	np.	Nicon.
Նինոս	սիւ	np.	Ninus.
Նինուաս	սայ	np.	Ninias.
Նիոբէ	բեայ	np.	Niobe.
Նիւքար	իայ	np.	Nucar.
Նոյ	յի	np.	Noah.
Նոյեմզար	րայ	np.	Noemzara.
Նովատիանոս	սիւ	np.	Novatian.
Նումերիանոս	սիւ	np.	Numerian.
Նունէ	նեայ	np.	Nino.
Շահան		np.	cf. Շահանշահ.
Շահանշահ	հիւ	np.	Shahan.
Շաղիտայ	յիւ	np.	Salita.
Շամբաթ	թի	np.	Shambat.
Շամիրամ	մայ	np.	Semiramis.
Շապուհ	պհոյ	np.	Shapur, Sapor.
Շարայ	յիւ	np.	Sarah.
Շմաւովն		np.	cf. Սիմովն.
Շուշան	նայ	np.	Susanna.
Ոդիսեւս	իսեայ	np.	Odysseus.
Ոլոմպիադորոս	րայ	np.	Olympiodorus.
Ոկտաւիոս	իայ	np.	Octavius.
Ողիւմպիա	այ	np.	Olympus.
Ոնեսիմոս	մեայ	np.	Onesimus.
Ոնորիոս	սիւ	np.	Honorius.
Ոսկի	կւոյ, կեայ	np.	Oski.
Ոսման	նայ	np.	Osman.
Ովիդիոս	դեայ	np.	Ovid.
Ովսէէ	սեայ, սէի	np.	Hosea.
Ովրատիոս	տեայ	np.	Orazio.
Ովրեստէս	տեայ	np.	Orestes.
Ովքոս	սիւ	np.	Ochus.
Որմիզդ	մզդի, մզդայ	np.	Hormisdas (roi); Ahura Mazda (god).
Որոգինէս	նեայ	np.	Origen.
Որփէոս	սիւ	np.	Orpheus.
Ուսերիոս	սի	np.	Usserius.
Ուրբանոս	նեայ	np.	Urbanus.
Ոքոզիա	այ	np.	Ahaziah.
Չեչիլիա	այ	np.	Cécile.
Պանդալէոն	լէոնիւ	np.	Pantaleon.
Պապ	պայ	np.	Pap.
Պարթեւք	ւաց	np.	Parthian.
Պարիս	սայ	np.	Paris.
Պարսք	սից	np.	Persian.
Պարսիկ	սկի, սկաց	np.	Persia.
Պաւղոս		np.	Paul.
Պաւսանիաս	այ	np.	Pausanias.
Պեղագիա	այ	np.	Pelagia.
Պեղագիոս	սիւ	np.	Pelagius.
Պեղոպիդաս	դեայ	np.	Pelopidas.
Պետաւիոս	սիւ	np.	Petavius.
Պետրոս	սի	np.	Peter.
Պենելովպէ	պեայ	np.	Penelope.
Պետրոս	ի	np.	Pierre.
Պերդիկկաս	այ	np.	Perdiccas
Պերոզ	զի	np.	Peroz.
Պերիկղէս	ղեայ	np.	Pericles.
Պերսէոս	սիւ	np.	Perseus.
Պէգասոս	սիւ	np.	Pegasus.
Պէռփեռուժէն	նայ	np.	Porphyrogennetos.
Պիգասոս		np.	cf. Պէգասոս.
Պիգմալիոն	նիւ	np.	Pygmalion.
Պիղատոս	սիւ	np.	Pilate.
Պինդար	րեայ	np.	Pindar.
Պիոս	սիւ	np.	Pius.
Պիւթագոր	րայ	np.	Pythagoras.
Պիւթիա	այ	np.	Pythia.
Պիւռոն	նիւ	np.	Pyrrho.
Պիւռոս	սիւ	np.	Pyrrhus.
Պլինիոս	սիւ	np.	Pliny.
Պլուտարքոս	քեայ	np.	Plutarch.
Պղատոն	նիւ	np.	Plato.
Պղաւտոս	տեայ	np.	Plautus.
Պղուտոն	նիւ	np.	Pluto.
Պողեմոն	մոնի	np.	Polemon.
Պողիբիոս	սիւ	np.	Polybius.
Պողիկարպոս	սիւ	np.	Policarpo.
Պողիկրատէս	տեայ	np.	Polycrates.
Պոմոնա	այ	np.	Pomona.
Պոմպէոս	էիւ	np.	Pompey.
Պոմպոնիոս	սիւ	np.	Pomponius.
Պոսիդոն	նիւ	np.	Neptune.
Պոսիդոնիոս	սիւ	np.	Posidonius.
Պոսուէթ	թայ	np.	Bossuet.
Պորփիւր	րիւ	np.	Porphyry.
Պուալօ	օյիւ	np.	Boileau.
Պուրտալու	ւի	np.	Bourdaloue.
Պռիամոս	սիւ, մու	np.	Priam.
Պտղոմէոս	մեայ	np.	Ptolemy.
Պրոկղ	ղիւ	np.	Proculus.
Պրոկոպիոս	սիւ	np.	Procopius.
Պրոմիթէոս	թեայ	np.	Prometheus.
Պրոպերտիոս	սիւ	np.	Propertius.
Պրոտէոս	սիւ	np.	Proteus.
Պրոտեւս	սիւ	np.	cf. Պրոտէոս.
Պրոտագորաս	այ	np.	Protagoras.
Պրուգենտիոս	տեայ	np.	Prudencio
Պօղոս	սիւ	np.	cf. Պաւղոս.
Պօքքաչչիօ	օյիւ	np.	Boccaccio.
Ռախաբ	բայ	np.	Rahab.
Ռասին	նի	np.	Racine.
Ռափայէլ	լիւ	np.	Raphael.
Ռաքէլ	լայ	np.	cf. Հռաքէղ.
Ռեբեկա	այ	np.	Rebecca.
Ռենեառ	սիւ	np.	Regnard.
Ռոբովամ	մայ	np.	Rehoboam.
Ռոմանոս	սի	np.	Romanus.
Ռոքոս	սիւ	np.	Roch.
Ռուբէն	ենի, նիւ	np.	Reuben.
Ռուբինոս	սիւ	np.	Rubinus.
Ռուսօ	օյիւ	np.	Rousseau.
Ռօլէն	նիւ	np.	Rollin.
Սաբէլ	լիւ	np.	Sabellius.
Սադուկեցի	ցւոյ, ցւոց	np.	Sadducees.
Սաթինիկ	նկան	np.	Satenik.
Սալադին	նայ	np.	Saladin.
Սալուստիոս	սիւ	np.	Sallustius.
Սահակ	կայ	np.	Isaac.
Սաղմանասար	րայ	np.	Shalmaneser.
Սաղոմոն	իւ	np.	cf. Սողոմովն.
Սամարիա	իա, եայ	np.	Samarie.
Սամուէլ	լիւ	np.	Samuel.
Սամփսոն	նիւ	np.	Samson.
Սանատրուկ	րկոյ	np.	Sanatruk.
Սանդուխտ	դխտոյ	np.	Sanduxt.
Սառա	յիւ	np.	cf. Շարայ.
Սասան	նայ	np.	Sasan.
Սարգիս	գսիւ	np.	Serge.
Սարդանաբաղ	ղայ	np.	Sardanapale.
Սաւուղ	ղայ	np.	Saul.
Սափփով	վայ	np.	Sappho.
Սեբաստիանոս	սիւ	np.	Sebastian.
Սեբերիանոս	սիւ	np.	Sévérianus.
Սելեւկոս	կեայ	np.	Seleucus.
Սեղբեստրոս	սիւ	np.	Sylvester.
Սելիմ	մայ	np.	Selim.
Սենեքայ	յիւ	np.	Seneca.
Սենեքերիմ	մայ	np.	Sennacherib.
Սենեէր	րիւ	np.	Segneri.
Սեսոստր	րիւ	np.	Senusret.
Սէթ	թայ	np.	Seth.
Սէմ	մայ	np.	Shem.
Սիբիլլա	այ	np.	Sibyl.
Սիմէովն	նիւ	np.	Simeon.
Սիմովն	նիւ	np.	cf. Սիմովն.
Սիմոնիդէս	դեայ	np.	Simonides.
Սիսակ	կայ	np.	Sisak.
Սիստոս	սիւ	np.	Sistos.
Սիւլէյման	նայ	np.	Suleiman.
Սկիպիոն	նիւ	np.	Scipio.
Սկիւթացի	ցւոյ	np.	Scythe.
Սկիւթացիք	ցւոց	np.	Scythes.
Սմբատ	տայ	np.	Smbat.
Սոզոմենոս	նայ	np.	Sozomen.
Սոկիանոս	նեայ	np.	Socianus.
Սոկինեան		np.	Socinianian.
Սոկինոս	նեայ	np.	Socinus.
Սոկրատ	տայ	np.	Socrates.
Սողոմովն	նիւ	np.	Salomon.
Սողոն	նիւ	np.	Solon.
Սուարէզ	զի	np.	Suárez.
Սուիդաս	սայ	np.	Suda.
Սուլպիկիոս	սիւ	np.	Sulpicius.
Սուրէն	նի, նայ	np.	Suren.
Սուրիոս	սիւ	np.	Surius.
Սուքիաս	սայ	np.	Sukias.
Սոփիա	այ	np.	Sophie.
Սոփոկղ	ղի	np.	Sophocles.
Սոփոնիա	այ, իոյ	np.	Zephaniah.
Սպեւսիպպոս	պեայ	np.	Speusippus.
Սպիրիդիոն	դիոնիւ	np.	Spiridion.
Ստեփաննոս	սիւ	np.	Stéphane.
Ստրաբոն	նիւ	np.	Strabo.
Սրապիոն	նիւ	np.	Serapion.
Վահագն	նիւ	np.	Vahagn.
Վահան	նայ	np.	Vahan.
Վահէ	հեայ	np.	Vahé.
Վահրամ	մայ	np.	Vahram, Bahram.
Վաղարշ	շայ	np.	cf. Վաղարշակ.
Վաղարշակ	կայ	np.	Vologases.
Վաղդանկ	կայ	np.	Valtango.
Վաղենտինոս	սիւ	np.	Valentin.
Վաղենտիանոս	նոսիւ	np.	Valentinian.
Վաղերիանոս	սիւ	np.	Valérian.
Վաղերիոս	սիւ	np.	Valerius.
Վաղէս	սիւ	np.	Valens.
Վանդալք	լաց	np.	Vandals.
Վառվառէ	ռեայ	np.	Barbara.
Վասակ	կայ	np.	Vasak.
Վասիլ	սլիւ	np.	cf. Բարսեղ.
Վարազդատ	տայ	np.	Varazdat.
Վարաժ	ժայ	np.	Varazhnuni.
Վարդ	դայ	np.	Rose.
Վարդան	նայ	np.	Vartan.
Վարդուհի	հեայ	np.	Rose.
Վարոս	սիւ	np.	Varus.
Վարրոն	նիւ	np.	Varro.
Վեսպասիանոս	սիւ	np.	Vespasian.
Վիկտոր	րիւ	np.	Victor.
Վինկենտիոս	տեայ	np.	Vincent.
Վիտրովիոս	վեայ	np.	Vitruvius.
Վիրգիլիոս	լեայ	np.	Virgil.
Վիրգինիա	այ	np.	Virginie.
Վիրք	վրաց	np.	Georgians.
Վլաս	սայ	np.	Blase.
Վշտասպ	պայ	np.	Hystaspes, Vishtaspa.
Վօլթէռ	ռի	np.	Voltaire.
Վռամշապուհ	պհոյ	np.	Vramshapuh.
Վրթանէս	նիսի, նայ	np.	Vrtanes.
Տաթեւ	ւայ	np.	Tatev.
Տակիտոս	սիւ	np.	Tacitus.
Տաճիկ	կճի	np.	Tajiks.
Տանդէ	էիւ	np.	Dante.
Տանտալ		np.	cf. Տանտաղոս.
Տանտաղոս	ղեայ	np.	Tantalus.
Տելեմաք	քայ	np.	Telemachus.
Տերենտիանոս	սիւ	np.	Terence.
Տերետիոս	սիւ	np.	cf. Տերենտիանոս.
Տերտիոս	սիւ	np.	Tertius.
Տերտուղիանոս	սիւ	np.	Tertullian.
Տիբերիոս	րեայ	np.	Tiberius.
Տիգրան	նայ	np.	Tigranes.
Տիգրանուհի	հւոյ	np.	Tigranouhie.
Տիմոթէոս	թեայ	np.	Timothy.
Տիպուղոս	ղեայ	np.	Tibullus.
Տիտոս	սիւ	np.	Titus.
Տիրիթ	թայ	np.	Tirith.
Տովբիթ	թայ	np.	Tobit.
Տուբիա	այ	np.	Tobias.
Տրայիանոս	սիւ	np.	Trajan.
Տրդատ	տայ	np.	Tiridates.
Ցոլակ	կայ	np.	Tsolak.
Փաբիոս	սիւ	np.	Fabius.
Փաբրիկիոս	կեայ	np.	Fabricius.
Փաղարիդէս	դեայ	np.	Phalaris.
Փաղերիոս	րեայ	np.	Phalerius.
Փայիթոն	նիւ	np.	Phaethon.
Փառանձեմ	մայ	np.	Pharantzem.
Փառնակ	կայ	np.	Pharnaces.
Փարաւովն	նիւ	np.	Pharaoh.
Փեթռառքա	այիւ	np.	Petrarch.
Փելիքս	սիւ	np.	Felix.
Փեստոս	սիւ	np.	Festus.
Փետրոս	սիւ	np.	Phaedra.
Փիլիպպոս	սիւ, պեայ	np.	Philip.
Փիլոկտէտ	տեայ	np.	Philoctetes.
Փիրմիղիանոս	նեայ	np.	Firmilian.
Փլաբիանոս	սիւ	np.	Flavian.
Փլամինիոս	նեայ	np.	Flaminius.
Փոկաս	սու, սայ	np.	Phocas.
Փոկիոն	նի	np.	Phocion.
Փոստոս	սիւ	np.	Fauste.
Փոտ	տայ	np.	Photius.
Փսամետիկոս	կեայ	np.	Psamtik.
Փրանկիսկոս	կոսիւ	np.	François.
Փրաւորտ	տայ	np.	Phraortes.
Քամ	մայ	np.	Ham.
Քանան	նու	np.	Canaan.
Քիապրէրա	այ	np.	Chiabrera.
Քիղոն	նիւ	np.	Chilon.
Քինալադան	նիւ	np.	Chinaladano.
Քլարա	այ	np.	Clara.
Քոլոմպոս	պեայ	np.	Columbus.
Քսանթիպպոս	պեայ	np.	Xanthippus.
Քսենոկրատ	տեայ	np.	Xenocrates.
Քսենոփան	նեայ	np.	Xenophanes.
Քսենոփոն	նիւ	np.	Xenophon.
Քսեստոս	սիւ	np.	Sixtus.
Քսերքսէս	քսիւ	np.	Xerxès.
Քրիստափոր	րիւ	np.	Christopher.
Քօռնէյլ	լայ	np.	Cornelius.
Օգոստինոս	սիւ	np.	Augustine.
Օգոստոս	տոսի, գոստեայ	np.	Augustus.
Օշին	շնիւ	np.	Oshin.
Օտայ	յիւ	np.	Ota.
Օքսէնտիոս	սիւ	np.	Auxence.
Ֆենելոն	նիւ	np.	Fénelon.
Ֆեռտինանտօ	օյիւ	np.	Ferdinand.
Ֆետերիկոս	սիւ	np.	Frederica.
Ֆիլիպ		np.	Փիլիպպոս.
Ֆլէշիէռ	ռայ	np.	Fléchier.
Ֆոհի	հեայ	np.	Fohi.
