Title	Complement	POS_1	Definition_1
Ափրոդիտէս	տեայ, եաւ	np.	cf. Ափրոդիտէ.
Աքաաբ		np.	Achab.
Աքազ	զու	np.	Achaz.
Աքիա	այ	np.	Ahijah.
Աքիմելէք	քայ	np.	Achimelech.
Աքիովր	րայ	np.	Achior.
Աքիւլլէս	լլեայ	np.	cf. Աքիւղէս.
Աքիւղէս		np.	Achilles.
Բաբ	բայ	np.	Bab, Babus.
Բագարատ	նեաց	np.	Pancratius, Bagarat, Bagrat.
Բագրատունիք	նեաց	np.	Bagratid.
Բաղդովինոս	նեայ	np.	Baudouin.
Բակուր	րայ	np.	Bakur, Pacorus.
Բահաղ	ղու	np.	Baal.
Բաղաամ	մայ	np.	Bal'am.
Բաղակ	կայ	np.	Balak.
Բաղտասար	րայ	np.	Balthazar, Belshazzar.
Բայազիտ	տիւ	np.	Bajazeth, Bayezid.
Բառնաբաս	այ	np.	Barnabas.
Բասիլիոս	սիւ	np.	cf. Բարսեղ.
Բարաքիա	այ	np.	Barachias.
Բարթողիմէոս	մեայ	np.	Bartholomew.
Բարշամ	մայ	np.	Barsamin.
Բարոնիոս	սիւ	np.	Baronius.
Բարուք	քայ	np.	Baruch.
Բարսեղ	սղիւ	np.	Basil.
Բաքոս	սիւ	np.	Bacchus, Dionysus.
Բելփեգովր	րայ	np.	Belphegor.
Բեկտոր	րիւ	np.	Victor.
Բենեդիկտոս	սիւ	np.	Benedictus.
Բենիամին	նիւ	np.	Benjamin.
Բեռնարդոս	սիւ	np.	Bernard.
Բերենիկէ	կեայ	np.	Berenice.
Բերոս	սիւ	np.	cf. Բիւռիոս.
Բերիոս	սիւ	np.	cf. Բիւռիոս.
Բերոսոս		np.	cf. Բիւռիոս.
Բիւռիոս		np.	Berossus, Berosus.
Բերսաբէ	բեայ	np.	Bersabée.
Բէլ	լայ	np.	Bel, Belus.
Բիւրասպի	պեայ	np.	Piurasby, Byraspy.
Բոնավենտուրա	այ	np.	cf. Պոնավենդուրա.
Բրիգիտա	այ	np.	Bridget.
